,well,sample_number,depth,strat_unit,strat_unit_Heederik1988,clay_percentage,0-2_micron,2-4_micron,4-8_micron,8-16_micron,16-25_micron,25-35_micron,35-50_micron,50-63_micron,63-75_micron,75-88_micron,88-105_micron,105-125_micron,125-150_micron,150-177_micron,177-210_micron,210-250_micron,250-300_micron,300-354_micron,354-420_micron,420-500_micron,500-600_micron,600-707_micron,707-850_micron,850-1000_micron,1000-1190_micron,1190-1410_micron,1410-1680_micron,1680-2000_micron,clay_fraction,phi_mean,phi_std,median_grain_size_mu,median_grain_size,kh_nitrogen_mDarcy,kv_nitrogen_mDarcy,helium_porosity,grain_density,porosity,kh,permeability_measured,depth_log,GR,RHOB,DRHO,NPHI,kaolinite_fraction,illite_fraction,smectite_fraction,mixed_layer_fraction,chlorite_fraction,note,specific_surface_granular_fraction,ln_grainsize_mean,ln_grainsize_std,log10_grainsize_mean,log10_grainsize_std,median_grainsize
51,AST-02,49,1505.8,NMRFS,Zand van Berg,1.4,1.4,2.5,3.0,2.5,1.2,0.7,0.9,1.2,6.4,20.4,29.3,26.0,3.5,0.8,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013999999999999999,3.7,0.89,96.0,9.6e-05,1370.0,,36.7,2.66,0.36700000000000005,1.352084921e-12,1.352084921e-12,1505.8,40.300072,2.15501,0.038959,26.814334999999996,0.15,0.5,0.35,,,clay composition estimated,58.18633320605341,-9.488233965223191,0.8004295671355478,-4.120687654103443,0.8004295671355478,9.131978359118732e-05
52,AST-02,50,1506.1,NMRFS,Zand van Berg,1.4,1.4,2.0,3.1,2.6,1.7,1.0,1.6,1.4,7.8,19.1,28.1,23.1,2.7,0.7,0.2,0.4,0.6,1.1,0.7,0.2,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.013999999999999999,3.69,1.01,96.0,9.6e-05,748.0,,34.1,2.66,0.341,7.382186284000001e-13,7.382186284000001e-13,1506.1,39.805237,2.12072,0.015597,26.662215999999997,0.15,0.5,0.35,,,clay composition estimated,55.54988433911337,-9.47813166176799,0.78943431528041,-4.116300279458338,0.78943431528041,9.665125081553079e-05
53,AST-02,51,1506.4,NMRFS,Zand van Berg,1.7,1.7,2.7,3.8,2.8,1.5,0.8,1.3,0.7,6.2,15.3,31.3,25.7,2.9,1.0,0.2,0.3,0.4,0.5,0.5,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,3.7,0.99,96.0,9.6e-05,793.0,,35.3,2.67,0.353,7.826301769e-13,7.826301769e-13,1506.4,40.763366999999995,2.098352,0.0021609999999999997,27.505245000000002,0.15,0.5,0.35,,,clay composition estimated,62.70603327923878,-9.539439642971647,0.8874659946244318,-4.142925997391714,0.8874659946244318,9.280957904653022e-05
54,AST-02,52,1506.7,NMRFS,Zand van Berg,1.1,1.1,1.3,2.4,1.9,1.3,0.8,1.4,1.7,5.2,15.6,32.1,29.0,3.2,1.3,0.2,0.2,0.3,0.4,0.3,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.011000000000000001,3.61,0.89,96.0,9.6e-05,1270.0,,35.6,2.66,0.35600000000000004,1.253392591e-12,1.253392591e-12,1506.7,44.805428000000006,2.093804,0.005078,27.945068,0.15,0.5,0.35,,,clay composition estimated,46.03326638745718,-9.392659216645256,0.6796834965811066,-4.079180068186754,0.6796834965811066,9.210708186152298e-05
55,AST-02,53,1507.0,NMRFS,Zand van Berg,1.3,1.3,2.0,3.3,2.5,1.5,0.7,1.3,0.8,4.6,13.1,32.7,30.5,3.4,1.6,0.2,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013000000000000001,3.65,0.91,96.0,9.6e-05,1550.0,,38.1,2.65,0.381,1.529731115e-12,1.529731115e-12,1507.0,47.184578,2.103652,0.014231,27.75,0.15,0.5,0.35,,,clay composition estimated,55.12980617440557,-9.482638409515094,0.8073684848353812,-4.118257535136234,0.8073684848353812,9.093530368852422e-05
56,AST-02,54,1507.3,NMRFS,Zand van Berg,1.8,1.8,1.9,3.6,3.0,1.9,1.2,1.4,0.4,5.5,18.4,32.7,24.1,2.0,1.2,0.3,0.1,0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018000000000000002,3.74,3.95,96.0,9.6e-05,620.0,,34.3,2.65,0.34299999999999997,6.118924460000001e-13,6.118924460000001e-13,1507.3,45.538810999999995,2.109222,0.019571,27.71677,0.15,0.5,0.35,,,clay composition estimated,57.403053896128924,-9.518468722967201,0.8643333168379588,-4.133818442553349,0.8643333168379588,0.00010421243577175661
57,AST-02,55,1507.6,NMRFS,Zand van Berg,1.1,1.1,1.5,2.5,2.0,1.5,0.9,1.5,1.2,6.2,19.1,35.4,22.4,1.8,1.7,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.011000000000000001,3.66,0.88,96.0,9.6e-05,1180.0,,35.5,2.65,0.355,1.164569494e-12,1.164569494e-12,1507.6,39.339523,2.098201,0.016441,27.190784000000004,0.15,0.5,0.35,,,clay composition estimated,48.83209190895455,-9.458541481008023,0.7809758576223388,-4.107792372054795,0.7809758576223388,9.163808867711016e-05
58,AST-02,56,1507.9,NMRFS,Zand van Berg,0.9,0.9,1.3,2.0,1.8,1.2,0.8,1.2,1.0,6.9,22.2,30.0,21.9,3.8,3.5,0.9,0.3,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.009000000000000001,3.6,0.83,96.0,9.6e-05,1550.0,,35.6,2.65,0.35600000000000004,1.529731115e-12,1.529731115e-12,1507.9,38.687034999999995,2.096524,0.018616,26.874233,0.15,0.5,0.35,,,clay composition estimated,44.769818457813585,-9.444396201270356,0.6975705051839751,-4.101649155119747,0.6975705051839751,9.105660219752594e-05
59,AST-02,57,1508.2,NMRFS,Zand van Berg,0.8,0.8,1.0,1.7,1.6,1.2,0.8,1.2,1.7,6.1,17.6,30.5,24.9,4.1,4.9,1.2,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.008,3.56,0.84,96.0,9.6e-05,1670.0,,34.8,2.65,0.348,1.648161911e-12,1.648161911e-12,1508.2,46.980315999999995,2.1103560000000003,0.023765,27.293045000000003,0.15,0.5,0.35,,,clay composition estimated,40.73032547857324,-9.38460014260052,0.657536597372695,-4.075680056799876,0.657536597372695,9.33237463694093e-05
60,AST-02,58,1508.5,NMRFS,Zand van Berg,0.6,0.6,1.0,1.4,1.3,0.8,0.6,0.8,0.8,3.8,13.7,29.3,28.7,6.3,8.1,2.0,0.5,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,3.42,0.77,96.0,9.6e-05,1780.0,,36.3,2.65,0.363,1.756723474e-12,1.756723474e-12,1508.5,50.056923,2.1244650000000003,0.027938,27.406384000000003,0.15,0.5,0.35,,,clay composition estimated,37.409940567570274,-9.254248425981524,0.6702854584658468,-4.01906902556563,0.6702854584658468,0.00010464740490635912
61,AST-02,59,1508.8,NMRFS,Zand van Berg,0.6,0.6,1.1,1.5,1.5,1.0,0.8,1.3,1.3,5.0,14.9,26.9,27.7,6.2,7.0,2.0,0.5,0.3,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.006,3.48,0.84,115.0,0.00011499999999999999,1410.0,,34.9,2.64,0.349,1.3915618530000001e-12,1.3915618530000001e-12,1508.8,48.397858,2.122377,0.023306999999999998,27.35107,0.15,0.5,0.35,,,clay composition estimated,39.580776158678134,-9.326240194962685,0.6781526289919274,-4.050334653576602,0.6781526289919274,0.00010374395690599827
62,AST-02,62,1509.7,NMRFS,Zand van Berg,0.5,0.5,0.7,1.3,1.2,0.8,0.7,0.7,0.2,3.9,13.9,23.0,27.1,11.5,12.4,1.5,0.3,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.005,3.34,0.74,115.0,0.00011499999999999999,2740.0,,37.1,2.64,0.371,2.704169842e-12,2.704169842e-12,1509.7,50.622765,2.135042,0.028913,27.579165999999997,0.15,0.5,0.35,,,clay composition estimated,34.02548515484524,-9.228417343099096,0.5971791110507298,-4.007850728808207,0.5971791110507298,0.00010886245545181183
