,phi,cv,k_cl,k_sd,k_cfs,k,k_normalized,k_sd_calc,k_sd_Knoll1996,k_cl_calc_Knoll1996,k_cl_Knoll1996,k_calc_Knoll1996,k_normalized_Knoll1996
37,0.252,0.37,,,,,,6.321333302158205e-11,4.4e-10,7.317334548031152e-18,1.5e-15,1.081437943748521e-15,-0.02598870732638363
38,0.248,0.38,,,,,,5.928795166193302e-11,4.4e-10,6.775015062263613e-18,1.5e-15,7.627721318648487e-16,-0.05371813184871847
39,0.244,0.39,,,,,,5.5554624678982674e-11,4.4e-10,6.267641031862884e-18,1.5e-15,5.380071307031409e-16,-0.08144755637105332
40,0.24,0.4,,,,,,5.2006052020611504e-11,4.4e-10,5.793226511248895e-18,1.5e-15,3.7947331922020555e-16,-0.10917698089338783
41,0.246,0.41000000000000003,,,,,,5.739774324696427e-11,4.4e-10,6.517086491576209e-18,1.5e-15,3.937921406021202e-16,-0.10623483076656882
42,0.252,0.42,,,,,,6.321333302158205e-11,4.4e-10,7.317334548031152e-18,1.5e-15,4.0828666399969517e-16,-0.1033635827698292
43,0.258,0.43,,,,,,6.947807874536394e-11,4.4e-10,8.200952411233567e-18,1.5e-15,4.22954784817479e-16,-0.10055989985915514
44,0.264,0.44,,,,,,7.621851844381019e-11,4.4e-10,9.17550843667721e-18,1.5e-15,4.377944723269128e-16,-0.09782067517352233
45,0.27,0.45,,,,,,8.346254093755415e-11,4.4e-10,1.0249206654016752e-17,1.5e-15,4.528037654437074e-16,-0.09514301133972837
46,0.276,0.46,,,,,,9.123946031491356e-11,4.4e-10,1.1430940117698924e-17,1.5e-15,4.679807688356435e-16,-0.09252420205199803
47,0.28200000000000003,0.47000000000000003,,,,,,9.9580095002316e-11,4.4e-10,1.2730348961883982e-17,1.5e-15,4.833236493282737e-16,-0.08996171563276296
48,0.288,0.48,,,,,,1.0851685175116079e-10,4.4e-10,1.415788360326187e-17,1.5e-15,4.988306325798366e-16,-0.0874531803242905
49,0.294,0.49,,,,,,1.1808381488432118e-10,4.4e-10,1.5724873580448718e-17,1.5e-15,5.145e-16,-0.08499637109697915
50,0.3,0.5,,,,,,1.2831684117224225e-10,4.4e-10,1.744360256867152e-17,1.5e-15,5.303300858899107e-16,-0.08258919779043696
51,0.306,0.51,,,,,,1.3925366073766078e-10,4.4e-10,1.9327390163997797e-17,1.5e-15,5.46319274783528e-16,-0.08022969442895281
