,porosity,permeability_measured,clay_fraction,kaolinite_fraction,illite_fraction,smectite_fraction,specific_surface_granular_fraction,k_kaolinite,k_illite,k_smectite,k_clay,k_granular,power_mean_exponent,k_calculated
25,0.0427972,6.476873310806191e-16,0,0.33333,0.33333,0.33333,14.8,8.288595785523954e-22,2.2894635324511786e-24,1.0103136146766503e-25,5.769294252083642e-24,8.292005919614547e-16,0.0,8.292005919614547e-16
26,0.043636400000000006,5.718042806192982e-16,0,0.33333,0.33333,0.33333,14.8,8.918607922112243e-22,2.4618275558386937e-24,1.0740394447859918e-25,6.181450588545864e-24,9.554213013806533e-16,0.0,9.554213013806533e-16
27,0.0444755,1.9872861335824697e-15,0,0.33333,0.33333,0.33333,14.8,9.583646989697543e-22,2.6436533074676047e-24,1.1405071666540874e-25,6.614691178921003e-24,1.0941581821265822e-15,0.0,1.0941581821265822e-15
28,0.04489509999999999,3.5689166241726295e-15,0,0.33333,0.33333,0.33333,14.8,9.929774132080691e-22,2.7382402076406753e-24,1.1747974419705667e-25,6.839477951912369e-24,1.1684386897824572e-15,0.0,1.1684386897824572e-15
29,0.0453147,1.14866397902677e-15,0,0.33333,0.33333,0.33333,14.8,1.0285165757605228e-21,2.8353273328696832e-24,1.2098008488703714e-25,7.069808276313231e-24,1.2460985840539776e-15,0.0,1.2460985840539776e-15
30,0.0461538,5.18586733250106e-15,0,0.33333,0.33333,0.33333,14.8,1.1024317327846054e-21,3.0371538510436097e-24,1.2819728521585e-25,7.54739360914398e-24,1.4118689029962158e-15,0.0,1.4118689029962158e-15
31,0.046993,1.5296758217680099e-15,0,0.33333,0.33333,0.33333,14.8,1.1802624863483371e-21,3.2495377301759235e-24,1.3571099300182967e-25,8.04827271305942e-24,1.5921798816641121e-15,0.0,1.5921798816641121e-15
32,0.0474126,8.517426650292981e-16,0,0.33333,0.33333,0.33333,14.8,1.2206858216807635e-21,3.359793266584147e-24,1.3958091317443943e-25,8.307652161635111e-24,1.6879931569266218e-15,0.0,1.6879931569266218e-15
33,0.0482517,1.5487681261986198e-15,0,0.33333,0.33333,0.33333,14.8,1.3046252843135379e-21,3.588634122931297e-24,1.4755033877519525e-25,8.844682827793415e-24,1.8913391058205974e-15,0.0,1.8913391058205974e-15
34,0.0486713,1.8669530747294e-15,0,0.33333,0.33333,0.33333,14.8,1.3481867707630404e-21,3.707340223845593e-24,1.5165257485403162e-25,9.122583182697414e-24,1.999069236598761e-15,0.0,1.999069236598761e-15
35,0.0495105,2.1679107665939104e-15,0,0.33333,0.33333,0.33333,14.8,1.4385731816914984e-21,3.95353426255266e-24,1.600956471223199e-25,9.697559789422552e-24,2.2270577746978382e-15,0.0,2.2270577746978382e-15
36,0.0499301,7.53463818498296e-15,0,0.33333,0.33333,0.33333,14.8,1.4854344957885911e-21,4.081118363928559e-24,1.6443829018900717e-25,9.994825603244653e-24,2.3474927532611333e-15,0.0,2.3474927532611333e-15
37,0.0503497,4.09213923571197e-15,0,0.33333,0.33333,0.33333,14.8,1.5334324307963739e-21,4.21175870338386e-24,1.6886288300750596e-25,1.0298737364379637e-23,2.4723401859010395e-15,0.0,2.4723401859010395e-15
38,0.0503497,4.09213923571197e-15,0,0.33333,0.33333,0.33333,14.8,1.5334324307963739e-21,4.21175870338386e-24,1.6886288300750596e-25,1.0298737364379637e-23,2.4723401859010395e-15,0.0,2.4723401859010395e-15
39,0.050769199999999994,1.4017139717132899e-15,0,0.33333,0.33333,0.33333,14.8,1.582573762476855e-21,4.345472228850609e-24,1.7336925568954218e-25,1.0609316859944094e-23,2.601658392644778e-15,0.0,2.601658392644778e-15
