,sample,reference,clay_type,porosity,permeability_measured,clay_fraction,kaolinite_fraction,illite_fraction,smectite_fraction,specific_surface_granular_fraction,notes,k_kaolinite,k_illite,k_smectite,k_clay,k_granular,power_mean_exponent,k_calculated
50,51,Mesri_Olsen_1971,kaolinite,0.4881806577676343,1.5417945856067364e-17,1,1,0,0,15,,5.196763110952107e-17,1.2969571669147714e-19,1.022811608830512e-21,5.1967631109520936e-17,1.6661621915022687e-10,0.0,5.1967631109520936e-17
51,52,Mesri_Olsen_1971,kaolinite,0.4972339752820131,4.0758200300163546e-17,1,1,0,0,15,,5.922627289793146e-17,1.476337361197921e-19,1.140785140308182e-21,5.922627289793164e-17,1.8932707143555226e-10,0.0,5.922627289793164e-17
52,53,Mesri_Olsen_1971,kaolinite,0.5220338569922953,8.092681137865324e-17,1,1,0,0,15,,8.474402797569586e-17,2.105480676918574e-19,1.5385568930595178e-21,8.474402797569596e-17,2.6893162562837656e-10,0.0,8.474402797569596e-17
53,54,Mesri_Olsen_1971,kaolinite,0.5350644381468745,3.179233213864793e-17,1,1,0,0,15,,1.023500185699091e-16,2.5384999189515394e-19,1.8011904022877e-21,1.0235001856990924e-16,3.2371841639760676e-10,0.0,1.0235001856990924e-16
54,55,Mesri_Olsen_1971,kaolinite,0.5469224113518538,1.3813257081703026e-16,1,1,0,0,15,,1.2160428409585946e-16,3.0112758955575285e-19,2.0799974688166536e-21,1.2160428409585934e-16,3.8355852140032867e-10,0.0,1.2160428409585934e-16
55,56,Mesri_Olsen_1971,kaolinite,0.5618230858630121,5.727709304368561e-17,1,1,0,0,15,,1.5118457809979995e-16,3.736291028639842e-19,2.4946638774773136e-21,1.5118457809980017e-16,4.753970553985376e-10,0.0,1.5118457809980017e-16
56,57,Mesri_Olsen_1971,kaolinite,0.5658389291669438,2.2702899116937565e-16,1,1,0,0,15,,1.6036357930268118e-16,3.960990861358696e-19,2.6205027730077437e-21,1.6036357930268123e-16,5.038806522014559e-10,0.0,1.6036357930268123e-16
57,58,Mesri_Olsen_1971,kaolinite,0.5856692517412057,1.1129519935721442e-16,1,1,0,0,15,,2.1497584407725237e-16,5.295643379221619e-19,3.3470098372019443e-21,2.149758440772524e-16,6.732841927676786e-10,0.0,2.149758440772524e-16
58,59,Mesri_Olsen_1971,kaolinite,0.58647299051048,2.97410226641388e-16,1,1,0,0,15,,2.1756214144517391e-16,5.358764753823178e-19,3.380596211467361e-21,2.1756214144517409e-16,6.81305479835403e-10,0.0,2.1756214144517409e-16
59,60,Mesri_Olsen_1971,kaolinite,0.6077768834428912,3.516139821076271e-16,1,1,0,0,15,,2.995232334556822e-16,7.355914108669269e-19,4.4148922945732045e-21,2.995232334556822e-16,9.355340125166272e-10,0.0,2.995232334556822e-16
60,61,Mesri_Olsen_1971,kaolinite,0.6092149038411282,2.787468697434978e-16,1,1,0,0,15,,3.0612092804002544e-16,7.516440909443111e-19,4.495940795024301e-21,3.0612092804002485e-16,9.560042115333176e-10,0.0,3.0612092804002485e-16
61,62,Mesri_Olsen_1971,kaolinite,0.6311879528497204,5.300581252583777e-16,1,1,0,0,15,,4.287014687569733e-16,1.0493753640532407e-18,5.955773250309202e-21,4.2870146875697375e-16,1.3365630185771158e-09,0.0,4.2870146875697375e-16
62,63,Mesri_Olsen_1971,kaolinite,0.6346643050324716,3.459630060168745e-16,1,1,0,0,15,,4.524920960930492e-16,1.1070607664167266e-18,6.230489197638853e-21,4.524920960930497e-16,1.410481146471288e-09,0.0,4.524920960930497e-16
63,64,Mesri_Olsen_1971,kaolinite,0.6374602212838546,7.4087335112538e-16,1,1,0,0,15,,4.726553980171305e-16,1.1559290807972608e-18,6.461454338669273e-21,4.7265539801713e-16,1.4731449656092984e-09,0.0,4.7265539801713e-16
64,65,Mesri_Olsen_1971,kaolinite,0.647063856519198,6.543312581291053e-16,1,1,0,0,15,,5.496300675543763e-16,1.342317438697653e-18,7.328909768884316e-21,5.496300675543771e-16,1.7125036628372127e-09,0.0,5.496300675543771e-16
65,66,Mesri_Olsen_1971,kaolinite,0.6602812959617022,1.0079453678205118e-15,1,1,0,0,15,,6.785827337792002e-16,1.6540433278460297e-18,8.739002863080166e-21,6.78582733779199e-16,2.1139706202198375e-09,0.0,6.78582733779199e-16
66,67,Mesri_Olsen_1971,kaolinite,0.6642936947704057,1.320418413267711e-15,1,1,0,0,15,,7.239773547216933e-16,1.763643379789006e-18,9.224477041329784e-21,7.239773547216938e-16,2.255436106277953e-09,0.0,7.239773547216938e-16
67,68,Mesri_Olsen_1971,kaolinite,0.6943747217982839,2.187837359029016e-15,1,1,0,0,15,,1.1920956047956239e-15,2.890730839934439e-18,1.3988612183319465e-20,1.1920956047956249e-15,3.7180309401538493e-09,0.0,1.1920956047956249e-15
68,69,Olsen1966,kaolinite,0.225,2.93577981651376e-19,1,1,0,0,15,,7.097607424251847e-19,1.842596238757345e-21,2.8377843899198944e-23,7.097607424251873e-19,2.6342824447178336e-12,0.0,7.097607424251873e-19
69,70,Olsen1966,kaolinite,0.365,5.59633027522936e-18,1,1,0,0,15,,8.352880545605026e-18,2.1199249052813602e-20,2.223066764593604e-22,8.352880545605013e-18,2.8324167835106913e-11,0.0,8.352880545605013e-18
70,71,Olsen1966,kaolinite,0.465,4.09785932721713e-17,1,1,0,0,15,,3.71565514682427e-17,9.301784260785458e-20,7.729463186333086e-22,3.715655146824262e-17,1.2012409840611975e-10,0.0,3.715655146824262e-17
71,72,Olsen1966,kaolinite,0.5479999999999999,1.37614678899083e-16,1,1,0,0,15,,1.235285138425097e-16,3.058484376207245e-19,2.107441855483181e-21,1.2352851384250977e-16,3.8953561273832927e-10,0.0,1.2352851384250977e-16
72,73,Olsen1966,kaolinite,0.575,2.0081549439347599e-16,1,1,0,0,15,,1.8353273695805108e-16,4.527655353607607e-19,2.933037839596283e-21,1.835327369580509e-16,5.757592321750737e-10,0.0,1.835327369580509e-16
73,74,Olsen1966,kaolinite,0.588,2.3547400611620803e-16,1,1,0,0,15,,2.2256604198014274e-16,5.480870846295861e-19,3.445392106982124e-21,2.225660419801428e-16,6.968248150940129e-10,0.0,2.225660419801428e-16
74,75,Vasseur1995,kaolinite,0.22480620155039002,1.00611620795107e-18,1,1,0,0,15,,7.06918309858835e-19,1.8352846931448513e-21,2.828292599412393e-23,7.069183098588327e-19,2.624047418202264e-12,0.0,7.069183098588327e-19
