,depth,GR,RHOB,DRHO,NPHI,DPHI,NPHI_ss,NDPHI_diff,clay_fraction_NDPHI,k_kaolinite,k_illite,k_smectite,k_clay_best,log_mean_gs,log_std_gs,Ss_granular,k_granular_best,power_mean_exponent,k_calculated
135,1647.5,7.220899,,,,,,,,,,,,,,,,0.0,
136,1647.4,8.747156,,,,,,,,,,,,,,,,0.0,
137,1647.3,10.115469000000001,,,,,,,,,,,,,,,,0.0,
138,1647.2,9.686325,,,,,,,,,,,,,,,,0.0,
139,1647.1,7.1981720000000005,,,,,,,,,,,,,,,,0.0,
140,1647.0,5.37061,,,,,,,,,,,,,,,,0.0,
141,1646.9,4.926755,,,,,,,,,,,,,,,,0.0,
142,1646.8,5.565338,,,,,,,,,,,,,,,,0.0,
143,1646.7,6.319229,,,,,,,,,,,,,,,,0.0,
144,1646.6,7.14508,,,,,,,,,,,,,,,,0.0,
145,1646.5,8.313314,,,,,,,,,,,,,,,,0.0,
146,1646.4,8.797884,,,,,,,,,,,,,,,,0.0,
147,1646.3,8.400991000000001,,,,,,,,,,,,,,,,0.0,
148,1646.2,7.7741679999999995,,,,,,,,,,,,,,,,0.0,
149,1646.1,7.447042,,,,,,,,,,,,,,,,0.0,
150,1646.0,8.322569,,,,,,,,,,,,,,,,0.0,
151,1645.9,10.182949,,,,,,,,,,,,,,,,0.0,
152,1645.8,11.257202000000001,,,,,,,,,,,,,,,,0.0,
153,1645.7,11.536636,,,,,,,,,,,,,,,,0.0,
154,1645.6,11.541782000000001,,,,,,,,,,,,,,,,0.0,
155,1645.5,10.418839,,,,,,,,,,,,,,,,0.0,
156,1645.4,8.434460000000001,,,,,,,,,,,,,,,,0.0,
157,1645.3,7.131578,,,,,,,,,,,,,,,,0.0,
158,1645.2,6.55302,,,,,,,,,,,,,,,,0.0,
159,1645.1,6.40498,,,,,,,,,,,,,,,,0.0,
160,1645.0,6.972180000000001,,,,,,,,,,,,,,,,0.0,
161,1644.9,7.20788,,,,,,,,,,,,,,,,0.0,
162,1644.8,6.191773,,,,,,,,,,,,,,,,0.0,
163,1644.7,4.83081,,,,,,,,,,,,,,,,0.0,
164,1644.6,4.102764,,,,,,,,,,,,,,,,0.0,
165,1644.5,4.534722,,,,,,,,,,,,,,,,0.0,
166,1644.4,5.456329,,,,,,,,,,,,,,,,0.0,
167,1644.3,5.758249,,,,,,,,,,,,,,,,0.0,
168,1644.2,6.471181,,,,,,,,,,,,,,,,0.0,
169,1644.1,7.738459,,,,,,,,,,,,,,,,0.0,
170,1644.0,8.753843,,,,,,,,,,,,,,,,0.0,
171,1643.9,9.143166,,,,,,,,,,,,,,,,0.0,
172,1643.8,8.71653,,,,,,,,,,,,,,,,0.0,
173,1643.7,7.303253,,,,,,,,,,,,,,,,0.0,
174,1643.6,7.0718380000000005,,,,,,,,,,,,,,,,0.0,
175,1643.5,7.620399000000001,,,,,,,,,,,,,,,,0.0,
176,1643.4,7.321291,,,,,,,,,,,,,,,,0.0,
177,1643.3,6.1239419999999996,,,,,,,,,,,,,,,,0.0,
178,1643.2,5.547982,,,,,,,,,,,,,,,,0.0,
179,1643.1,6.15025,,,,,,,,,,,,,,,,0.0,
180,1643.0,8.682129,,,,,,,,,,,,,,,,0.0,
181,1642.9,10.510114999999999,,,,,,,,,,,,,,,,0.0,
182,1642.8,10.571169,,,,,,,,,,,,,,,,0.0,
183,1642.7,9.361952,,,,,,,,,,,,,,,,0.0,
184,1642.6,9.157175,,,,,,,,,,,,,,,,0.0,
185,1642.5,9.334394,,,,,,,,,,,,,,,,0.0,
186,1642.4,8.931021000000001,,,,,,,,,,,,,,,,0.0,
187,1642.3,7.1865429999999995,,,,,,,,,,,,,,,,0.0,
188,1642.2,6.865558,,,,,,,,,,,,,,,,0.0,
189,1642.1,7.427513,,,,,,,,,,,,,,,,0.0,
190,1642.0,8.439531,,,,,,,,,,,,,,,,0.0,
191,1641.9,7.809546000000001,,,,,,,,,,,,,,,,0.0,
192,1641.8,7.132211999999999,,,,,,,,,,,,,,,,0.0,
193,1641.7,7.7840050000000005,,,,,,,,,,,,,,,,0.0,
194,1641.6,7.781071000000001,,,,,,,,,,,,,,,,0.0,
195,1641.5,7.687191,,,,,,,,,,,,,,,,0.0,
196,1641.4,9.192816,,,,,,,,,,,,,,,,0.0,
197,1641.3,10.937855,,,,,,,,,,,,,,,,0.0,
198,1641.2,9.594211999999999,,,,,,,,,,,,,,,,0.0,
199,1641.1,7.331328,,,,,,,,,,,,,,,,0.0,
200,1641.0,6.0123120000000005,,,,,,,,,,,,,,,,0.0,
201,1640.9,6.815785000000001,,,,,,,,,,,,,,,,0.0,
202,1640.8,8.137528999999999,,,,,,,,,,,,,,,,0.0,
203,1640.7,10.610521,,,,,,,,,,,,,,,,0.0,
204,1640.6,12.347321,,,,,,,,,,,,,,,,0.0,
205,1640.5,11.840822,,,,,,,,,,,,,,,,0.0,
206,1640.4,10.279312,,,,,,,,,,,,,,,,0.0,
207,1640.3,9.9751,,,,,,,,,,,,,,,,0.0,
208,1640.2,11.408653,,,,,,,,,,,,,,,,0.0,
209,1640.1,11.079752000000001,,,,,,,,,,,,,,,,0.0,
210,1640.0,9.045126,,,,,,,,,,,,,,,,0.0,
211,1639.9,8.76034,,,,,,,,,,,,,,,,0.0,
212,1639.8,8.89776,,,,,,,,,,,,,,,,0.0,
213,1639.7,9.718382,,,,,,,,,,,,,,,,0.0,
214,1639.6,11.36993,,,,,,,,,,,,,,,,0.0,
215,1639.5,14.163826,,,,,,,,,,,,,,,,0.0,
216,1639.4,16.88406,,,,,,,,,,,,,,,,0.0,
217,1639.3,17.299595,,,,,,,,,,,,,,,,0.0,
218,1639.2,15.762645999999998,,,,,,,,,,,,,,,,0.0,
219,1639.1,13.838454999999998,,,,,,,,,,,,,,,,0.0,
220,1639.0,13.350267,,,,,,,,,,,,,,,,0.0,
221,1638.9,13.930610999999999,,,,,,,,,,,,,,,,0.0,
222,1638.8,14.179506,,,,,,,,,,,,,,,,0.0,
223,1638.7,14.688929000000002,,,,,,,,,,,,,,,,0.0,
224,1638.6,15.232351000000001,,,,,,,,,,,,,,,,0.0,
225,1638.5,15.525054999999998,,,,,,,,,,,,,,,,0.0,
226,1638.4,15.172682,,,,,,,,,,,,,,,,0.0,
227,1638.3,13.52384,,,,,,,,,,,,,,,,0.0,
228,1638.2,11.988789,,,,,,,,,,,,,,,,0.0,
229,1638.1,14.302082,,,,,,,,,,,,,,,,0.0,
230,1638.0,19.025574,,,,,,,,,,,,,,,,0.0,
231,1637.9,20.637698999999998,2.333304,0.20210999999999998,,0.1948898461538461,,,,3.6825691816992097e-19,9.618034422452658e-22,1.6408113352705803e-23,5.645940894528277e-22,,,,,0.0,
232,1637.8,18.430504,2.336398,0.20565100000000003,,0.19298584615384606,,,,3.5241789110879524e-19,9.208072262321492e-22,1.5816758265918628e-23,5.417939718453893e-22,,,,,0.0,
233,1637.7,15.295982,2.3396689999999998,0.21048699999999998,,0.19097292307692315,,,,3.3629174553398005e-19,8.790504603722589e-22,1.5210156251108843e-23,5.185147563066283e-22,,,,,0.0,
234,1637.6,13.931681,2.343071,0.2149,,0.18887938461538467,,,,3.201734185950778e-19,8.3729555183344e-22,1.4599029041734007e-23,4.9517712427647165e-22,,,,,0.0,
235,1637.5,13.096849,2.345459,0.21818099999999999,,0.18740984615384626,,,,3.092457125358302e-19,8.089761422932285e-22,1.4181820973406434e-23,4.793134430335275e-22,,,,,0.0,
236,1637.4,11.579603,2.347322,0.22069699999999998,,0.18626338461538455,,,,3.0093623506577034e-19,7.874357981346021e-22,1.3862945498299683e-23,4.672272674834552e-22,,,,,0.0,
