depth,GR,RHOB,DRHO,NPHI
1652.4,14.215794,,,
1652.3,11.403061,,,
1652.2,9.783323,,,
1652.1,10.195379,,,
1652,11.755928,,,
1651.9,13.205868,,,
1651.8,13.45863,,,
1651.7,11.757982,,,
1651.6,10.029608,,,
1651.5,9.073263,,,
1651.4,9.190598,,,
1651.3,9.03898,,,
1651.2,8.596828,,,
1651.1,8.685642,,,
1651,9.647463,,,
1650.9,9.833843,,,
1650.8,10.141109,,,
1650.7,10.34761,,,
1650.6,9.063044,,,
1650.5,8.751783,,,
1650.4,9.299995,,,
1650.3,9.180334,,,
1650.2,8.106907,,,
1650.1,6.709908,,,
1650,6.633203,,,
1649.9,7.046284,,,
1649.8,8.397594,,,
1649.7,10.177155,,,
1649.6,10.727026,,,
1649.5,9.656239,,,
1649.4,8.247351,,,
1649.3,7.786372,,,
1649.2,6.989745,,,
1649.1,5.877828,,,
1649,5.441886,,,
1648.9,5.813163,,,
1648.8,6.784135,,,
1648.7,7.039545,,,
1648.6,6.527103,,,
1648.5,6.748693,,,
1648.4,7.444222,,,
1648.3,7.377827,,,
1648.2,6.262731,,,
1648.1,5.160047,,,
1648,4.944749,,,
1647.9,5.162157,,,
1647.8,4.945786,,,
1647.7,5.089771,,,
1647.6,5.991401,,,
1647.5,7.220899,,,
1647.4,8.747156,,,
1647.3,10.115469,,,
1647.2,9.686325,,,
1647.1,7.198172,,,
1647,5.37061,,,
1646.9,4.926755,,,
1646.8,5.565338,,,
1646.7,6.319229,,,
1646.6,7.14508,,,
1646.5,8.313314,,,
1646.4,8.797884,,,
1646.3,8.400991,,,
1646.2,7.774168,,,
1646.1,7.447042,,,
1646,8.322569,,,
1645.9,10.182949,,,
1645.8,11.257202,,,
1645.7,11.536636,,,
1645.6,11.541782,,,
1645.5,10.418839,,,
1645.4,8.43446,,,
1645.3,7.131578,,,
1645.2,6.55302,,,
1645.1,6.40498,,,
1645,6.97218,,,
1644.9,7.20788,,,
1644.8,6.191773,,,
1644.7,4.83081,,,
1644.6,4.102764,,,
1644.5,4.534722,,,
1644.4,5.456329,,,
1644.3,5.758249,,,
1644.2,6.471181,,,
1644.1,7.738459,,,
1644,8.753843,,,
1643.9,9.143166,,,
1643.8,8.71653,,,
1643.7,7.303253,,,
1643.6,7.071838,,,
1643.5,7.620399,,,
1643.4,7.321291,,,
1643.3,6.123942,,,
1643.2,5.547982,,,
1643.1,6.15025,,,
1643,8.682129,,,
1642.9,10.510115,,,
1642.8,10.571169,,,
1642.7,9.361952,,,
1642.6,9.157175,,,
1642.5,9.334394,,,
1642.4,8.931021,,,
1642.3,7.186543,,,
1642.2,6.865558,,,
1642.1,7.427513,,,
1642,8.439531,,,
1641.9,7.809546,,,
1641.8,7.132212,,,
1641.7,7.784005,,,
1641.6,7.781071,,,
1641.5,7.687191,,,
1641.4,9.192816,,,
1641.3,10.937855,,,
1641.2,9.594212,,,
1641.1,7.331328,,,
1641,6.012312,,,
1640.9,6.815785,,,
1640.8,8.137529,,,
1640.7,10.610521,,,
1640.6,12.347321,,,
1640.5,11.840822,,,
1640.4,10.279312,,,
1640.3,9.9751,,,
1640.2,11.408653,,,
1640.1,11.079752,,,
1640,9.045126,,,
1639.9,8.76034,,,
1639.8,8.89776,,,
1639.7,9.718382,,,
1639.6,11.36993,,,
1639.5,14.163826,,,
1639.4,16.88406,,,
1639.3,17.299595,,,
1639.2,15.762646,,,
1639.1,13.838455,,,
1639,13.350267,,,
1638.9,13.930611,,,
1638.8,14.179506,,,
1638.7,14.688929,,,
1638.6,15.232351,,,
1638.5,15.525055,,,
1638.4,15.172682,,,
1638.3,13.52384,,,
1638.2,11.988789,,,
1638.1,14.302082,,,
1638,19.025574,,,
1637.9,20.637699,2.333304,0.20211,
1637.8,18.430504,2.336398,0.205651,
1637.7,15.295982,2.339669,0.210487,
1637.6,13.931681,2.343071,0.2149,
1637.5,13.096849,2.345459,0.218181,
1637.4,11.579603,2.347322,0.220697,
1637.3,10.804117,2.347363,0.220865,
1637.2,10.191214,2.345706,0.219693,
1637.1,9.271502,2.343951,0.218606,
1637,9.311888,2.341203,0.21616,
1636.9,9.558018,2.338404,0.213883,
1636.8,9.336634,2.334076,0.210703,
1636.7,10.250811,2.325045,0.204588,
1636.6,10.61964,2.316236,0.198796,
1636.5,9.686186,2.309429,0.194447,
1636.4,8.143072,2.303657,0.190904,
1636.3,6.394295,2.300455,0.189262,
1636.2,5.411346,2.299586,0.189,
1636.1,6.34479,2.299734,0.189473,
1636,9.042156,2.302078,0.191328,
1635.9,10.941507,2.305304,0.192741,
1635.8,12.647669,2.30797,0.193942,
1635.7,15.939062,2.31304,0.196709,
1635.6,19.905243,2.320182,0.201054,
1635.5,25.05378,2.32607,0.205491,
1635.4,34.670479,2.33354,0.210488,
1635.3,43.38678,2.339906,0.214501,
1635.2,48.951225,2.341594,0.215399,
1635.1,53.435226,2.342219,0.215066,
1635,55.208626,2.341319,0.213642,
1634.9,54.108253,2.33882,0.211291,
1634.8,51.626625,2.335131,0.207859,
1634.7,52.146378,2.321625,0.195489,
1634.6,53.178947,2.304812,0.178836,
1634.5,51.674026,2.296473,0.168461,
1634.4,52.307098,2.292813,0.160365,
1634.3,54.730949,2.294999,0.149351,
1634.2,56.362839,2.302179,0.139365,
1634.1,55.844627,2.308771,0.13243,
1634,52.166855,2.320068,0.121797,
1633.9,48.350395,2.33392,0.111791,
1633.8,46.762459,2.342085,0.105684,
1633.7,43.531425,2.347326,0.095194,
1633.6,40.519966,2.347598,0.0822,
1633.5,43.299965,2.346998,0.076077,
1633.4,50.189522,2.346064,0.071083,
1633.3,56.73999,2.346387,0.068008,
1633.2,58.052162,2.350607,0.068368,
1633.1,58.034691,2.351513,0.068665,
1633,56.932716,2.348878,0.069172,
1632.9,55.572182,2.346634,0.072593,
