,Unnamed: 0,well,sample_number,depth,strat_unit,strat_unit_Heederik1988,clay_percentage,0-2_micron,2-4_micron,4-8_micron,8-16_micron,16-25_micron,25-35_micron,35-50_micron,50-63_micron,63-75_micron,75-88_micron,88-105_micron,105-125_micron,125-150_micron,150-177_micron,177-210_micron,210-250_micron,250-300_micron,300-354_micron,354-420_micron,420-500_micron,500-600_micron,600-707_micron,707-850_micron,850-1000_micron,1000-1190_micron,1190-1410_micron,1410-1680_micron,1680-2000_micron,clay_fraction,phi_mean,phi_std,median_grain_size_mu,median_grain_size,kh_nitrogen_mDarcy,kv_nitrogen_mDarcy,helium_porosity,grain_density,porosity,kh,permeability_measured,depth_log,GR,RHOB,DRHO,NPHI,kaolinite_fraction,illite_fraction,smectite_fraction,mixed_layer_fraction,chlorite_fraction,note,specific_surface_granular_fraction,ln_grainsize_mean,ln_grainsize_std,log10_grainsize_mean,log10_grainsize_std,median_grainsize,k_kaolinite,k_illite,k_smectite,k_clay,k_granular,power_mean_exponent,k_calculated
22,22,AST-02,102,1529.1,NLLFR,Basaal Zand van Dongen,25.9,25.9,7.8,9.5,12.0,8.1,3.4,6.0,11.5,14.0,0.8,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.259,,,12.0,1.2e-05,20.9,,20.4,2.63,0.204,2.062669697e-14,2.062669697e-14,1529.1,51.731499,2.262275,0.042602,26.509163,0.15,0.5,0.35,,,clay composition estimated,141.59619053425084,-10.881540580153294,1.1991187803715182,-4.725793028566883,1.1991187803715182,1.7989272643368507e-05,1.3868918420969932e-18,3.578399015196611e-21,4.9646000771196625e-23,1.9575382923215183e-21,1.907575571829124e-14,0.0,2.9538602012234195e-16
23,23,AST-02,103,1529.6,NLLFR,Basaal Zand van Dongen,21.6,21.6,6.2,6.8,7.1,6.4,2.9,10.9,31.0,3.8,1.1,1.6,0.3,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21600000000000005,,,56.0,5.600000000000001e-05,22.0,,21.7,2.63,0.217,2.17123126e-14,2.17123126e-14,1529.6,54.663994,2.25414,0.037297,26.346241,0.15,0.5,0.35,,,clay composition estimated,115.3561783798077,-10.432261551978812,1.0312806474497722,-4.5306736257958535,1.0312806474497722,4.7513277953965275e-05,5.87516439364443e-19,1.5278903831967612e-21,2.4234768651185523e-23,8.748885031754743e-22,3.784547569087225e-14,0.0,8.4844703531656e-16
24,24,AST-02,104,1531.08,NLLFR,Landen klei,18.9,18.9,5.8,7.9,10.6,10.0,5.8,15.6,23.4,1.6,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189,,,56.0,5.600000000000001e-05,5.4,,24.2,2.65,0.242,5.32938582e-15,5.32938582e-15,1531.1,55.792709,2.280487,0.049899,25.890305,0.15,0.5,0.35,,,clay composition estimated,127.29366069046979,-10.59866791554266,0.9118901407935808,-4.602942991245215,0.9118901407935808,3.745299208441979e-05,3.210843362263008e-19,8.39655811418274e-22,1.4633699750693214e-23,4.964979572734209e-22,5.0984945791214355e-14,0.0,1.5605002125941292e-15
25,25,AST-02,105,1531.6,NLLFR,Landen klei,23.5,23.5,7.0,8.9,8.7,6.3,2.9,9.7,27.1,4.9,0.3,0.3,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235,,,56.0,5.600000000000001e-05,8.01,,22.6,2.64,0.226,7.905255633e-15,7.905255633e-15,1531.6,51.673149,2.268053,0.032332,25.876011,0.15,0.5,0.35,,,clay composition estimated,129.8317853599347,-10.649630354360916,1.0973743380830634,-4.625075697208319,1.0973743380830634,4.801107203683463e-05,8.70237617941718e-19,2.2549815780307683e-21,3.364277033596947e-23,1.2645304447366678e-21,3.587474985479212e-14,0.0,6.358678649808012e-16
26,26,AST-02,106,1532.07,NLLFR,Landen klei,37.6,37.6,9.7,14.3,14.7,10.8,7.8,4.7,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.376,,,12.0,1.2e-05,153.0,,22.4,2.64,0.224,1.509992649e-13,1.509992649e-13,1532.1,53.98666400000001,2.285092,0.024813,26.508640000000003,0.15,0.5,0.35,,,clay composition estimated,175.3464513004636,-11.463958537962151,0.8506678324157179,-4.978733933804633,0.8506678324157179,8.026495201109072e-06,9.903170551592792e-18,2.509454849427002e-20,2.5626251594658084e-22,1.2365042455372896e-20,1.8893614087825448e-14,0.0,8.934826739728092e-17
27,27,AST-02,108,1533.1,NLLFR,Landen klei,24.0,24.0,10.4,12.2,15.0,12.5,10.5,7.6,1.8,1.4,1.8,1.5,0.7,0.2,0.2,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,,,12.0,1.2e-05,14.2,,21.5,2.62,0.215,1.4014310859999995e-14,1.4014310859999995e-14,1533.1,57.62710600000001,2.298535,0.045133,27.523174,0.15,0.5,0.35,,,clay composition estimated,180.85727902005118,-10.943651167535183,0.9473025782580724,-4.7527673139346085,0.9473025782580724,2.285861651739921e-05,9.61436274548905e-19,2.489018488921502e-21,3.656195946913201e-23,1.3883931071794794e-21,1.477126583571553e-14,0.0,3.0406081165985313e-16
28,28,AST-02,109,1533.6,NLLFR,Landen klei,17.2,17.2,7.2,8.6,8.6,5.8,2.7,0.6,0.1,1.9,1.1,1.0,1.4,1.1,2.0,1.8,1.8,2.5,4.9,4.0,4.7,5.7,4.4,4.2,3.1,1.8,1.2,0.3,0.3,0.172,,,12.0,1.2e-05,2.02,,18.0,2.61,0.18,1.993585066e-15,1.993585066e-15,1533.6,61.288925,2.314338,0.038801,27.621346000000006,0.15,0.5,0.35,,,clay composition estimated,115.76923019639379,-9.357503871561738,1.955424098196988,-4.063912295807579,1.955424098196988,0.00017514866290049963,2.1200643693070413e-19,5.565278532693075e-22,1.0347665495901137e-23,3.364268450693034e-22,1.6481848912458134e-14,0.0,7.839820144536202e-16
29,29,AST-02,110,1534.04,NLLFR,Landen klei,31.5,31.5,8.6,12.0,15.8,14.3,11.2,5.8,0.0,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.315,,,12.0,1.2e-05,7.27,,20.1,2.61,0.201,7.174932391e-15,7.174932391e-15,1534.0,56.761925,2.292744,0.021578,26.64344,0.15,0.5,0.35,,,clay composition estimated,167.525485891543,-11.29665709492216,0.8945137521588763,-4.906075840277913,0.8945137521588763,9.802405212825156e-06,3.733155353999272e-18,9.544927197577166e-21,1.1348263548936014e-22,4.953623719670915e-21,1.2763403428549256e-14,0.0,1.220359537762494e-16
30,30,AST-02,111,1534.6,NLLFR,Landen klei,34.2,34.2,8.2,10.8,14.9,14.3,7.2,6.5,2.5,0.8,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.342,,,12.0,1.2e-05,16.7,,19.1,2.6,0.191,1.648161911e-14,1.648161911e-14,1534.6,58.305389,2.259552,0.019443,27.349957,0.15,0.5,0.35,,,clay composition estimated,156.78439701865378,-11.154943860683328,0.8537054504696358,-4.844530564635326,0.8537054504696358,1.2322556278702635e-05,5.808066579522159e-18,1.4789896667870285e-20,1.6413365173565257e-22,7.497327444558354e-21,1.1642002474775744e-14,0.0,8.885139157538205e-17
31,31,AST-02,112,1535.1,NLLFR,Landen klei,6.2,6.2,10.9,14.1,13.7,8.4,5.2,4.0,2.9,12.2,10.7,6.7,3.0,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.0,0.0,0.062,,,6.0,6e-06,,,,,,,,1535.1,54.573311,2.298526,0.030249,27.857712,0.15,0.5,0.35,,,clay composition estimated,187.101947212439,-10.743041445228755,1.3585555030101024,-4.665643618520785,1.3585555030101024,1.619467568710124e-05,3.398579369545741e-21,9.266629780659575e-24,3.2817931147511605e-25,6.979019930773645e-24,,0.0,
