,Unnamed: 0,well,sample_number,depth,strat_unit,strat_unit_Heederik1988,clay_percentage,0-2_micron,2-4_micron,4-8_micron,8-16_micron,16-25_micron,25-35_micron,35-50_micron,50-63_micron,63-75_micron,75-88_micron,88-105_micron,105-125_micron,125-150_micron,150-177_micron,177-210_micron,210-250_micron,250-300_micron,300-354_micron,354-420_micron,420-500_micron,500-600_micron,600-707_micron,707-850_micron,850-1000_micron,1000-1190_micron,1190-1410_micron,1410-1680_micron,1680-2000_micron,clay_fraction,phi_mean,phi_std,median_grain_size_mu,median_grain_size,kh_nitrogen_mDarcy,kv_nitrogen_mDarcy,helium_porosity,grain_density,porosity,kh,depth_log,GR,RHOB,DRHO,NPHI,kaolinite_fraction,illite_fraction,smectite_fraction,mixed_layer_fraction,chlorite_fraction,specific_surface_granular_fraction,ln_grainsize_mean,ln_grainsize_std,log10_grainsize_mean,log10_grainsize_std,median_grainsize
10,10,AST-02,89,1522.57,NLLFR,Basaal Zand van Dongen,11.2,11.2,8.3,11.2,9.4,7.7,6.3,14.6,25.7,5.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11199999999999999,,,56.0,5.6000000000000006e-05,47.8,,29.0,2.65,0.29,4.717493374e-14,1522.6,48.675521999999994,2.2262619999999997,0.027509,26.582539,,,,,,155.78042964821202,-10.672322766223827,1.0584768408675647,-4.634930886461457,1.0584768408675647,4.3039231286738174e-05
11,11,AST-02,90,1523.5,NLLFR,Basaal Zand van Dongen,12.3,12.3,6.1,9.7,7.2,6.4,5.3,15.7,27.4,9.2,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12300000000000001,,,56.0,5.6000000000000006e-05,86.0,,28.2,2.67,0.282,8.48754038e-14,1523.5,48.834915,2.221435,0.024664,25.466225,,,,,,129.80776597405708,-10.571386070593604,1.0696336464975416,-4.591094636527702,1.0696336464975416,3.5234201296400394e-05
12,12,AST-02,91,1523.6,NLLFR,Basaal Zand van Dongen,16.8,16.8,6.3,9.5,7.8,7.2,2.7,12.5,17.0,19.5,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168,,,69.0,6.9e-05,58.8,,27.4,2.66,0.27399999999999997,5.803109003999999e-14,1523.6,48.24958,2.226671,0.026781,25.26738,,,,,,128.14412873457752,-10.513197941551116,1.003252593788523,-4.565823853172277,1.003252593788523,4.7827784560747086e-05
13,13,AST-02,93,1524.57,NLLFR,Basaal Zand van Dongen,13.9,13.9,5.5,6.6,6.9,5.3,3.5,12.1,34.7,10.3,0.4,0.3,0.3,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139,,,56.0,5.6000000000000006e-05,654.0,,30.9,2.66,0.309,6.454478382e-13,1524.6,54.883965,2.237966,0.029627999999999998,25.840912,,,,,,111.91795912034115,-10.363645246413586,0.9673770074828616,-4.500873942920288,0.9673770074828616,5.6862981992247824e-05
14,14,AST-02,94,1525.0,NLLFR,Basaal Zand van Dongen,10.6,10.6,3.9,5.5,6.4,6.7,5.7,13.5,29.5,16.9,0.9,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106,,,56.0,5.6000000000000006e-05,189.0,,28.3,2.65,0.28300000000000003,1.8652850370000002e-13,1525.0,54.872253,2.242712,0.031977,26.718643,,,,,,98.83349396258072,-10.268089690659295,0.8782141549119284,-4.459374692340999,0.8782141549119284,5.607807921078771e-05
15,15,AST-02,95,1525.57,NLLFR,Basaal Zand van Dongen,17.1,17.1,6.3,8.0,8.7,6.6,3.9,6.9,14.8,26.0,1.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171,,,69.0,6.9e-05,8.98,,24.3,2.66,0.243,8.862571234e-15,1525.6,53.474464000000005,2.24443,0.035733999999999995,26.22953,,,,,,122.97772096002315,-10.403658222773878,0.9607156035979858,-4.5182513577580865,0.9607156035979858,5.176888395350298e-05
16,16,AST-02,96,1526.14,NLLFR,Basaal Zand van Dongen,21.2,21.2,7.9,9.7,10.4,7.3,5.1,10.1,13.7,13.3,0.6,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.212,,,56.0,5.6000000000000006e-05,22.7,,22.2,2.65,0.222,2.240315891e-14,1526.1,50.198859999999996,2.286813,0.05193,25.656147,,,,,,143.25607312366776,-10.643631584190597,1.102042895400464,-4.622470464425143,1.102042895400464,2.9053788875113384e-05
17,17,AST-02,97,1526.6,NLLFR,Basaal Zand van Dongen,21.4,21.4,7.2,8.7,9.9,8.8,6.8,10.2,10.8,15.0,0.9,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,,,69.0,6.9e-05,1.23,,20.9,2.64,0.209,1.213915659e-15,1526.6,50.763870000000004,2.291779,0.05779,26.432484000000002,,,,,,135.6914061827122,-10.685569355300524,1.1235059467012463,-4.640683807001507,1.1235059467012463,3.461524135826574e-05
18,18,AST-02,98,1527.1,NLLFR,Basaal Zand van Dongen,21.6,21.6,10.8,12.8,15.0,11.3,5.9,5.5,5.4,11.1,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21600000000000003,,,12.0,1.2e-05,2.15,,20.2,2.62,0.20199999999999999,2.121885095e-15,1527.1,52.340324,2.3088439999999997,0.08492000000000001,26.994675,,,,,,183.93712921052602,-11.012053002306695,1.0671219004647412,-4.782473853327933,1.0671219004647412,2.0777491444387553e-05
19,19,AST-02,99,1527.6,NLLFR,Basaal Zand van Dongen,25.6,25.6,8.2,10.7,12.0,9.4,4.4,6.1,15.0,8.1,0.2,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256,,,56.0,5.6000000000000006e-05,1.97,,20.5,2.62,0.205,1.944238901e-15,1527.6,54.607285,2.315,0.07649199999999999,26.38007,,,,,,150.62597698475528,-10.76184248811762,1.0503623322051643,-4.673808807701445,1.0503623322051643,2.2904737590678093e-05
