,well,sample_number,depth,strat_unit,strat_unit_Heederik1988,clay_percentage,0-2_micron,2-4_micron,4-8_micron,8-16_micron,16-25_micron,25-35_micron,35-50_micron,50-63_micron,63-75_micron,75-88_micron,88-105_micron,105-125_micron,125-150_micron,150-177_micron,177-210_micron,210-250_micron,250-300_micron,300-354_micron,354-420_micron,420-500_micron,500-600_micron,600-707_micron,707-850_micron,850-1000_micron,1000-1190_micron,1190-1410_micron,1410-1680_micron,1680-2000_micron,clay_fraction,phi_mean,phi_std,median_grain_size_mu,median_grain_size,kh_nitrogen_mDarcy,kv_nitrogen_mDarcy,helium_porosity,grain_density,porosity,kh,depth_log,GR,RHOB,DRHO,NPHI,kaolinite_fraction,illite_fraction,smectite_fraction,mixed_layer_fraction,chlorite_fraction,specific_surface_granular_fraction,ln_grainsize_mean,ln_grainsize_std,log10_grainsize_mean,log10_grainsize_std,median_grainsize
24,AST-02,104,1531.08,NLLFR,"Landen klei",18.9,18.9,5.8,7.9,10.6,10,5.8,15.6,23.4,1.6,0.1,0,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.189,,,56,5.6E-05,5.4,,24.2,2.65,0.242,5.32938582E-15,1531.1,55.792709,2.280487,0.049899,25.890305,,,,,,127.29366069047,-11.3225108070326,1.66619444633612,-4.91730396478276,1.66619444633612,2.43044156374332E-05
25,AST-02,105,1531.6,NLLFR,"Landen klei",23.5,23.5,7,8.9,8.7,6.3,2.9,9.7,27.1,4.9,0.3,0.3,0.2,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.235,,,56,5.6E-05,8.01,,22.6,2.64,0.226,7.905255633E-15,1531.6,51.673149,2.268053,0.032332,25.876011,,,,,,129.831785359935,-11.4605166714189,1.73647076242423,-4.97723915015895,1.73647076242423,1.64570402347123E-05
26,AST-02,106,1532.07,NLLFR,"Landen klei",37.6,37.6,9.7,14.3,14.7,10.8,7.8,4.7,0,0.3,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376,,,12,1.2E-05,153,,22.4,2.64,0.224,1.509992649E-13,1532.1,53.986664,2.285092,0.024813,26.50864,,,,,,175.346451300464,-12.1183534938702,1.1846778344421,-5.26293405214143,1.1846778344421,7.26675845979489E-06
27,AST-02,108,1533.1,NLLFR,"Landen klei",24,24,10.4,12.2,15,12.5,10.5,7.6,1.8,1.4,1.8,1.5,0.7,0.2,0.2,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0.24,,,12,1.2E-05,14.2,,21.5,2.62,0.215,1.401431086E-14,1533.1,57.627106,2.298535,0.045133,27.523174,,,,,,180.857279020051,-11.8167357639903,1.51803369665384,-5.13194313641035,1.51803369665384,1.29433150772044E-05
28,AST-02,109,1533.6,NLLFR,"Landen klei",17.2,17.2,7.2,8.6,8.6,5.8,2.7,0.6,0.1,1.9,1.1,1,1.4,1.1,2,1.8,1.8,2.5,4.9,4,4.7,5.7,4.4,4.2,3.1,1.8,1.2,0.3,0.3,0.172,,,12,1.2E-05,2.02,,18,2.61,0.18,1.993585066E-15,1533.6,61.288925,2.314338,0.038801,27.621346,,,,,,115.769230196394,-10.0605035641951,2.36919647456459,-4.36922118309791,2.36919647456459,3.26543154345508E-05
29,AST-02,110,1534.04,NLLFR,"Landen klei",31.5,31.5,8.6,12,15.8,14.3,11.2,5.8,0,0.5,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0.315,,,12,1.2E-05,7.27,,20.1,2.61,0.201,7.174932391E-15,1534,56.761925,2.292744,0.021578,26.64344,,,,,,167.525485891543,-12.1345563680431,1.33902081586008,-5.26997087098495,1.33902081586008,7.43232154264449E-06
30,AST-02,111,1534.6,NLLFR,"Landen klei",34.2,34.2,8.2,10.8,14.9,14.3,7.2,6.5,2.5,0.8,0.1,0,0,0.1,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0.1,0,0.342,,,12,1.2E-05,16.7,,19.1,2.6,0.191,1.648161911E-14,1534.6,58.305389,2.259552,0.019443,27.349957,,,,,,156.784397018654,-11.8425010899053,1.21986889032873,-5.1431328752796,1.21986889032873,4.33685140951641E-06
31,AST-02,112,1535.1,NLLFR,"Landen klei",6.2,6.2,10.9,14.1,13.7,8.4,5.2,4,2.9,12.2,10.7,6.7,3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0,0,0.062,,,6,6E-06,,,,,,,1535.1,54.573311,2.298526,0.030249,27.857712,,,,,,187.101947212439,-10.826283469969,1.37376974571454,-4.70179517052902,1.37376974571454,1.6349763705349E-05
32,AST-02,113,1229.1,NMVFV,"Zand van Voort",6.7,6.7,8.5,11.4,11,7.7,5.4,5.9,7.4,11.7,11.4,7.6,3.8,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.2,0.1,0,0,0,0.067,,,69,6.9E-05,19,,30,2.63,0.3,1.87515427E-14,1229.1,61.175339,,,,,,,,,156.298548615294,-10.6967025027714,1.50753165775929,-4.64551887151393,1.50753165775929,2.75687996396485E-05
33,AST-02,114,1229.6,NMVFV,"Zand van Voort",5.8,5.8,10.5,12.1,12.2,8.7,5.3,4.6,3.5,11.2,12.8,8.5,4.1,0.4,0.1,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.058,,,81,8.1E-05,7.52,,30.4,2.61,0.304,7.421663216E-15,1229.6,61.65078,,,,,,,,,175.511694146731,-10.6778252542376,1.3148316865491,-4.6373205866425,1.3148316865491,3.19965551603613E-05
34,AST-02,115,1230.1,NMVFV,"Zand van Voort",5.7,5.7,8.6,10.9,10.4,7.8,5.5,6.3,6.3,11.1,12.5,8.9,4.7,0.5,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0.057,,,81,8.1E-05,7.25,,31.2,2.61,0.312,7.155193925E-15,1230.1,71.933914,,,,,,,,,154.593025350459,-10.8420099966933,2.07151805388148,-4.70862511430418,2.07151805388148,3.9397075519465E-05
35,AST-02,116,1230.6,NMVFV,"Zand van Voort",5.1,5.1,8.9,11.4,11.1,8.5,5.7,6.1,6.1,12.7,12.5,7.9,3.3,0.3,0.1,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0.051,,,81,8.1E-05,7.33,,31.7,2.62,0.317,7.234147789E-15,1230.6,71.543167,,,,,,,,,160.740294485564,-10.6407900099136,1.3293239991142,-4.62123638439723,1.3293239991142,2.53788082649703E-05
36,AST-02,117,1231.1,NMVFV,"Zand van Voort",9.4,9.4,8.6,12.7,12,8,5,5.2,4.8,13.4,11.4,6.3,2.5,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.094,,,69,6.9E-05,26.4,,32.9,2.62,0.329,2.605477512E-14,1231.1,64.148254,,,,,,,,,162.392696400121,-10.8999789283454,1.54228908626911,-4.73380070144231,1.54228908626911,2.44559034513684E-05
37,AST-02,119,1232.1,NMVFV,"Zand van Voort",9.5,9.5,8.2,12.1,11.5,8,5.4,5.8,5.1,13.5,10.9,6.3,3,0.3,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.095,,,69,6.9E-05,,,,,,,1232.1,58.807922,,,,,,,,,156.909926045991,-10.810768617018,1.46610288414977,-4.69505715550452,1.46610288414977,3.19371801936186E-05
38,AST-02,124,1234.7,NMVFV,"Zand van Voort",6.6,6.6,9.7,13.6,12.3,7.9,4.8,4.7,3.3,10.6,10.6,9.2,5.9,0.5,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0.066,,,6,6E-06,6.51,,29.3,2.6,0.293,6.424870683E-15,1234.7,58.380898,,,,,,,,,173.766235913803,-10.8951533139618,1.73185009621844,-4.73170496374407,1.73185009621844,2.43328570238992E-05
39,AST-02,66,1510.9,NMRFS,"Zand van Berg",0.9,0.9,1.9,2.4,1.9,0.8,0.5,0.5,0.3,4.9,10.7,24.3,30.6,9.8,8.1,1.2,0.3,0.3,0.3,0,0.1,0.1,0,0.1,0,0,0,0,0,0.009,3.437,0.856,115,0.000115,1150,,34.9,2.64,0.349,1.134961795E-12,1510.9,53.684082,2.130843,0.021297,28.027897,,,,,,47.8979171348035,-9.37858630429883,0.8364628213734,-4.07306828001111,0.8364628213734,0.00011601634609
40,AST-02,38,1247.35,NMVFV,"Zand van Voort",10.5,10.5,2.7,3.8,4.3,3.9,3,4.8,4.9,0.4,0.7,1,1.8,3.5,4,13.5,13.1,12.3,11.4,0.2,0.1,0.1,0,0,0,0,0,0,0,0.105,3.58,1.83,192,0.000192,101,,31.2,2.6,0.312,9.96792533E-14,1247.3,66.134018,,,,,,,,,60.6594869495035,-9.58738434715454,1.6976632174515,-4.16374811785492,1.6976632174515,0.00019132649115
41,AST-02,39,1502.8,NMRFS,"Zand van Berg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,,35.6,2.67,0.356,6.296570654E-13,1502.8,47.700554,2.136516,0.016,26.525459,0,0.3,0.65,0.05,0,,,,,,
42,AST-02,40,1503.1,NMRFS,"Zand van Berg",1.8,1.8,2.8,3.4,3,1.6,1.1,1,0.6,6.3,12.4,22.6,35.6,5.9,1.3,0.2,0.1,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0.018,3.68,0.97,115,0.000115,1350,,36.8,2.66,0.368,1.332346455E-12,1503.1,49.181877,2.168078,0.024032,26.394569,,,,,,62.02504850556,-9.58567534304961,0.97077261683142,-4.16300590680201,0.97077261683142,8.90623783564532E-05
43,AST-02,41,1503.4,NMRFS,"Zand van Berg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,34.1,2.67,0.341,9.849494534E-13,1503.4,49.59819,2.195196,0.028124,26.459991,,,,,,,,,,,
44,AST-02,42,1503.7,NMRFS,"Zand van Berg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622,,33.5,2.66,0.335,6.138662926E-13,1503.7,48.003159,2.196104,0.027952,26.528362,,,,,,,,,,,
45,AST-02,43,1504,NMRFS,"Zand van Berg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884,,35.6,2.67,0.356,8.724401972E-13,1504,45.736359,2.170259,0.023518,26.599937,,,,,,,,,,,
46,AST-02,44,1504.3,NMRFS,"Zand van Berg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,,30.1,2.63,0.301,3.029854531E-13,1504.3,45.715019,2.142929,0.013747,26.649837,,,,,,,,,,,
47,AST-02,45,1504.6,NMRFS,"Zand van Berg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960,,36.3,2.66,0.363,9.47446368E-13,1504.6,45.912971,2.139174,0.012,27.199013,,,,,,,,,,,
48,AST-02,46,1504.9,NMRFS,"Zand van Berg",5.9,5.9,4.2,4.6,3.5,2,1.3,1.4,2.4,7.8,18.6,24.9,20.6,2,0.4,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.059,4.02,1.11,96,9.6E-05,244,,31.4,2.69,0.314,2.408092852E-13,1504.9,43.269073,2.132095,0.013266,27.225151,,,,,,78.6042004038496,-9.91099132404073,1.31524340434938,-4.3042888422223,1.31524340434938,8.48314483960427E-05
49,AST-02,47,1502.2,NMRFS,"Zand van Berg",2.1,2.1,1.9,2.9,2.3,1.6,1.2,1.5,2.8,7.3,21.1,29.7,22.4,2.2,0.6,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.021,3.8,0.95,96,9.6E-05,2520,,37.6,2.66,0.376,2.487046716E-12,1502.2,51.282303,2.135538,0.011613,27.876282,0,0.3,0.65,0.05,0,54.3344590186424,-9.62598760105342,1.14756216021288,-4.18051329800551,1.14756216021288,0.00010147628812
50,AST-02,48,1505.5,NMRFS,"Zand van Berg",1.9,1.9,2.5,3.3,2.3,1.4,0.8,1.1,2.4,6.2,19.4,28.7,25.4,3.4,0.8,0.2,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0.019,3.76,0.95,96,9.6E-05,516,,32.5,2.67,0.325,5.092524228E-13,1505.5,41.948502,2.162858,0.046326,26.360561,,,,,,59.2275798427583,-9.60207179086398,1.0801040592242,-4.1701267936112,1.0801040592242,9.82009388327739E-05
51,AST-02,49,1505.8,NMRFS,"Zand van Berg",1.4,1.4,2.5,3,2.5,1.2,0.7,0.9,1.2,6.4,20.4,29.3,26,3.5,0.8,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.014,3.7,0.89,96,9.6E-05,1370,,36.7,2.66,0.367,1.352084921E-12,1505.8,40.300072,2.15501,0.038959,26.814335,,,,,,58.1863332060534,-9.55636973551159,0.89782020260802,-4.15027864315912,0.89782020260802,9.81394657305479E-05
52,AST-02,50,1506.1,NMRFS,"Zand van Berg",1.4,1.4,2,3.1,2.6,1.7,1,1.6,1.4,7.8,19.1,28.1,23.1,2.7,0.7,0.2,0.4,0.6,1.1,0.7,0.2,0.3,0.1,0.1,0,0,0,0,0,0.014,3.69,1.01,96,9.6E-05,748,,34.1,2.66,0.341,7.382186284E-13,1506.1,39.805237,2.12072,0.015597,26.662216,,,,,,55.5498843391134,-9.54192166656779,0.97818700212122,-4.1440039265434,0.97818700212122,8.9595315303413E-05
53,AST-02,51,1506.4,NMRFS,"Zand van Berg",1.7,1.7,2.7,3.8,2.8,1.5,0.8,1.3,0.7,6.2,15.3,31.3,25.7,2.9,1,0.2,0.3,0.4,0.5,0.5,0.2,0.2,0,0,0,0,0,0,0,0.017,3.7,0.99,96,9.6E-05,793,,35.3,2.67,0.353,7.826301769E-13,1506.4,40.763367,2.098352,0.002161,27.505245,,,,,,62.7060332792388,-9.59042409238143,0.9947085673677,-4.16506826243414,0.9947085673677,9.88549845734916E-05
